Timestamp,participantID,audioStimuli,vote,reactionTime,voteDetails
4/18/2012 17:12:46,1334783519205:::Russia,./../audio_stimuli/recs1/09Spost2.mp3,5,8128,2628:::Played stimuli ./../audio_stimuli/recs1/09Spost2.mp3; (0:1334783565426); (1:1334783566382); (2:1334783566446); (3:1334783566507); (4:1334783566546); (5:1334783566626)
4/18/2012 17:17:16,1334783519205:::Russia,./../audio_stimuli/recs2/17Spost3.mp3,-5,4304,3492:::Played stimuli ./../audio_stimuli/recs2/17Spost3.mp3; (0:1334783837396); (-1:1334783837420); (-2:1334783837445); (-3:1334783837457); (-4:1334783837482); (-5:1334783837507)
4/18/2012 17:17:29,1334783519205:::Russia,./../audio_stimuli/recs3/36Spost4.mp3,0,9813,1548:::Played stimuli ./../audio_stimuli/recs3/36Spost4.mp3
4/18/2012 17:17:43,1334783519205:::Russia,./../audio_stimuli/recs3/36Spost4.mp3,0,24567,1548:::Played stimuli ./../audio_stimuli/recs3/36Spost4.mp3
4/18/2012 17:18:40,1334783519205:::Russia,./../audio_stimuli/recs2/23Spost3.mp3,-5,3960,2736:::Played stimuli ./../audio_stimuli/recs2/23Spost3.mp3; (0:1334783921315); (-1:1334783921337); (-2:1334783921388); (-3:1334783921411); (-4:1334783921437); (-5:1334783921475)
4/18/2012 17:20:26,1334783519205:::Russia,./../audio_stimuli/recs3/27Spost6.mp3,0,null,NaN:::Played stimuli ./../audio_stimuli/recs3/27Spost6.mp3
4/18/2012 17:20:35,1334783519205:::Russia,./../audio_stimuli/recs2/23Spost4.mp3,5,4880,2628:::Played stimuli ./../audio_stimuli/recs2/23Spost4.mp3; (0:1334784035770); (1:1334784035816); (2:1334784035866); (3:1334784035903); (4:1334784035939); (5:1334784035976)
4/18/2012 17:22:19,1334783519205:::Russia,./../audio_stimuli/recs3/29Spost6.mp3,-3,2862,5400:::Played stimuli ./../audio_stimuli/recs3/29Spost6.mp3; (0:1334784140358); (-1:1334784140494); (-2:1334784140542); (-3:1334784140602)
4/18/2012 17:26:26,1334783519205:::Russia,./../audio_stimuli/recs3/31Spost2.mp3,5,5078,2448:::Played stimuli ./../audio_stimuli/recs3/31Spost2.mp3; (0:1334784387396); (1:1334784387484); (2:1334784387530); (3:1334784387555); (4:1334784387592); (5:1334784387665)
4/18/2012 17:32:59,1334783519205:::Russia,./../audio_stimuli/recs2/21Spost1.mp3,-5,5897,2412:::Played stimuli ./../audio_stimuli/recs2/21Spost1.mp3; (0:1334784778773); (1:1334784778837); (2:1334784778884); (3:1334784778932); (4:1334784779055); (3:1334784779914); (2:1334784779939); (1:1334784779951); (0:1334784779974); (-1:1334784780257); (-2:1334784780281); (-3:1334784780293); (-4:1334784780306); (-5:1334784780319)
4/18/2012 17:37:11,1334783519205:::Russia,./../audio_stimuli/recs4/47Spost1.mp3,-5,8116,2808:::Played stimuli ./../audio_stimuli/recs4/47Spost1.mp3; (0:1334785032778); (-1:1334785032805); (-2:1334785032816); (-4:1334785032842); (-5:1334785032852)
4/18/2012 17:37:26,1334783519205:::Russia,./../audio_stimuli/recs3/33Spost5.mp3,-5,1842,3132:::Played stimuli ./../audio_stimuli/recs3/33Spost5.mp3; (-1:1334785047439); (-2:1334785047463); (-3:1334785047479); (-4:1334785047501); (-5:1334785047527)
4/18/2012 22:41:13,1334802889278:::Russia,./../audio_stimuli/recs1/06Spost3.mp3,-5,1921,3203:::Played stimuli ./../audio_stimuli/recs1/06Spost3.mp3
4/18/2012 22:49:45,1334802889278:::Russia,./../audio_stimuli/recs1/04Spost1.mp3,0,2009,2915:::Played stimuli ./../audio_stimuli/recs1/04Spost1.mp3
4/18/2012 22:50:57,1334802889278:::Russia,./../audio_stimuli/recs3/27Spost3.mp3,1,2975,2915:::Played stimuli ./../audio_stimuli/recs3/27Spost3.mp3; (2:1334803857669); (1:1334803858611)
4/19/2012 10:09:44,1334844520454:::Russia,./../audio_stimuli/recs1/09Spost5.mp3,-5,6531,3168:::Played stimuli ./../audio_stimuli/recs1/09Spost5.mp3; (0:1334844585673); (-1:1334844585710); (-2:1334844585762); (-3:1334844585832); (-4:1334844585920); (-5:1334844585955)
4/19/2012 10:10:18,1334844520454:::Russia,./../audio_stimuli/recs4/39Spost6.mp3,-4,6309,4824:::Played stimuli ./../audio_stimuli/recs4/39Spost6.mp3; (0:1334844618672); (-1:1334844618715); (-2:1334844618789); (-3:1334844618924); (-4:1334844619122)
4/19/2012 10:14:10,1334844520454:::Russia,./../audio_stimuli/recs2/23Spost6.mp3,2,10224,3744:::Played stimuli ./../audio_stimuli/recs2/23Spost6.mp3; (1:1334844849123); (2:1334844850485)
4/19/2012 10:15:01,1334844520454:::Russia,./../audio_stimuli/recs4/41Spost2.mp3,-2,10733,2916:::Played stimuli ./../audio_stimuli/recs4/41Spost2.mp3; (-2:1334844903174)
4/19/2012 10:26:26,1334844520454:::Russia,./../audio_stimuli/recs3/33Spost5.mp3,-1,16410,3132:::Played stimuli ./../audio_stimuli/recs3/33Spost5.mp3; (-1:1334845582841)
